temperature_liquid,co2,ph,fermentation_stage
31.61,1046,4.13,FERMENTASI_AKTIF
27.53,756,5.19,FERMENTASI_AWAL
28.84,540,7.02,BELUM_FERMENTASI
29.5,1981,3.39,FERMENTASI_LANJUT
26.16,1092,5.7,FERMENTASI_AWAL
29.86,529,6.58,BELUM_FERMENTASI
28.51,1591,3.31,FERMENTASI_LANJUT
25.89,429,6.54,BELUM_FERMENTASI
28.83,1035,5.59,FERMENTASI_AWAL
30.35,1653,4.51,FERMENTASI_AKTIF
26.94,1272,3.69,FERMENTASI_LANJUT
28.78,2455,3.93,FERMENTASI_LANJUT
28.99,907,4.44,FERMENTASI_AKTIF
29.73,2716,3.77,FERMENTASI_LANJUT
28.13,1107,5.95,FERMENTASI_AWAL
24.25,702,6.27,BELUM_FERMENTASI
28.08,2449,3.95,FERMENTASI_LANJUT
29.37,2045,3.43,FERMENTASI_LANJUT
29.54,2104,3.78,FERMENTASI_LANJUT
26.82,766,6.78,BELUM_FERMENTASI
28.57,689,6.91,BELUM_FERMENTASI
25.9,1573,3.51,MATANG
27.26,1855,4.14,FERMENTASI_LANJUT
26.83,906,5.69,FERMENTASI_AWAL
29.82,1313,4.47,FERMENTASI_AKTIF
30.93,1987,4.09,FERMENTASI_LANJUT
28.88,2162,3.87,MATANG
26.86,933,5.15,FERMENTASI_AKTIF
30.87,1520,4.45,FERMENTASI_AKTIF
27.68,710,5.72,FERMENTASI_AWAL
27.92,1896,4.87,FERMENTASI_AKTIF
25.27,706,6.08,BELUM_FERMENTASI
29.8,1075,5.29,FERMENTASI_AWAL
26.99,1209,6.01,FERMENTASI_AWAL
25.24,560,7.19,BELUM_FERMENTASI
27.44,1254,5.58,FERMENTASI_AWAL
30.71,788,6.17,FERMENTASI_AWAL
28.82,1313,5.9,FERMENTASI_AWAL
29.31,1372,4.24,FERMENTASI_AKTIF
25.08,1436,4.49,FERMENTASI_AKTIF
26.12,1537,3.91,FERMENTASI_LANJUT
27.74,1146,5.36,FERMENTASI_AWAL
29.83,457,6.81,BELUM_FERMENTASI
25.74,2148,4.76,FERMENTASI_AKTIF
28.14,1510,4.96,FERMENTASI_AKTIF
28.91,857,6.52,BELUM_FERMENTASI
28.66,1819,3.81,FERMENTASI_LANJUT
30.53,2070,3.45,FERMENTASI_LANJUT
28.86,1121,4.69,FERMENTASI_AKTIF
27.0,1614,4.36,FERMENTASI_AKTIF
26.15,904,5.05,FERMENTASI_AWAL
26.34,587,6.69,BELUM_FERMENTASI
28.92,1540,3.62,FERMENTASI_LANJUT
26.5,818,5.66,FERMENTASI_AWAL
29.61,837,5.2,FERMENTASI_AWAL
27.01,1681,5.3,FERMENTASI_AKTIF
25.48,400,6.83,BELUM_FERMENTASI
23.72,1039,3.41,MATANG
27.67,1649,3.74,MATANG
26.81,1327,6.23,FERMENTASI_AWAL
28.75,966,5.48,FERMENTASI_AWAL
25.56,1210,5.3,FERMENTASI_AWAL
30.41,2102,4.09,FERMENTASI_AKTIF
25.72,2172,3.43,MATANG
27.3,1205,3.71,MATANG
29.11,1424,4.16,FERMENTASI_LANJUT
29.85,1631,4.0,FERMENTASI_LANJUT
29.92,1850,4.22,FERMENTASI_AKTIF
26.12,854,6.56,BELUM_FERMENTASI
29.54,1454,4.24,FERMENTASI_LANJUT
30.77,486,6.15,FERMENTASI_AWAL
27.3,1671,3.33,FERMENTASI_LANJUT
29.51,1163,5.9,FERMENTASI_AWAL
27.03,680,5.44,FERMENTASI_AWAL
29.65,1853,5.01,FERMENTASI_AKTIF
28.75,624,6.86,BELUM_FERMENTASI
25.75,829,6.94,BELUM_FERMENTASI
27.18,1822,3.91,FERMENTASI_LANJUT
30.0,2057,4.59,FERMENTASI_AKTIF
29.88,674,5.52,FERMENTASI_AWAL
29.15,2010,4.27,FERMENTASI_AKTIF
28.66,400,6.54,BELUM_FERMENTASI
27.61,677,5.94,BELUM_FERMENTASI
26.43,1245,6.21,FERMENTASI_AWAL
27.85,3053,4.05,FERMENTASI_LANJUT
29.48,684,5.75,FERMENTASI_AWAL
27.7,2185,3.83,FERMENTASI_LANJUT
27.95,995,5.27,FERMENTASI_AWAL
29.73,450,5.49,FERMENTASI_AWAL
26.74,588,7.18,BELUM_FERMENTASI
26.87,1948,4.92,FERMENTASI_AKTIF
26.1,1178,3.25,MATANG
31.48,2121,4.96,FERMENTASI_AKTIF
27.48,2302,4.08,FERMENTASI_LANJUT
25.45,1626,4.88,FERMENTASI_AKTIF
29.73,698,6.78,BELUM_FERMENTASI
29.83,2098,3.94,FERMENTASI_LANJUT
29.32,1660,4.05,FERMENTASI_AKTIF
27.11,1252,6.05,FERMENTASI_AWAL
27.95,1337,3.54,MATANG
28.38,1256,3.43,FERMENTASI_LANJUT
26.61,1138,5.64,FERMENTASI_AWAL
30.4,996,4.24,FERMENTASI_AKTIF
29.25,1219,5.9,FERMENTASI_AWAL
27.3,1380,4.15,FERMENTASI_AKTIF
27.58,1215,5.51,FERMENTASI_AWAL
26.01,2113,4.01,FERMENTASI_LANJUT
25.88,1417,4.81,FERMENTASI_AKTIF
25.19,535,5.09,FERMENTASI_AWAL
26.77,2721,4.23,FERMENTASI_LANJUT
30.77,1956,4.22,FERMENTASI_AKTIF
25.26,885,5.55,FERMENTASI_AWAL
27.87,700,5.73,FERMENTASI_AWAL
25.77,1708,3.21,MATANG
29.7,1519,4.2,FERMENTASI_LANJUT
24.59,1404,4.2,FERMENTASI_AKTIF
27.58,1940,5.09,FERMENTASI_AKTIF
26.18,799,5.66,FERMENTASI_AWAL
25.15,715,5.98,BELUM_FERMENTASI
29.85,1355,4.7,FERMENTASI_AKTIF
29.28,951,6.53,BELUM_FERMENTASI
28.74,858,6.11,BELUM_FERMENTASI
25.35,755,5.84,FERMENTASI_AWAL
27.85,1388,3.97,FERMENTASI_AKTIF
30.41,901,5.28,FERMENTASI_AWAL
25.4,1222,5.0,FERMENTASI_AWAL
30.42,1518,3.82,FERMENTASI_LANJUT
27.16,2097,3.22,MATANG
25.5,1434,5.62,FERMENTASI_AWAL
28.01,789,7.03,BELUM_FERMENTASI
27.95,1157,5.84,FERMENTASI_AWAL
25.89,665,5.92,FERMENTASI_AWAL
26.17,552,6.88,BELUM_FERMENTASI
28.14,1579,5.05,FERMENTASI_AKTIF
30.45,1280,4.77,FERMENTASI_AKTIF
28.93,1633,4.29,FERMENTASI_AKTIF
25.02,622,6.94,BELUM_FERMENTASI
31.18,2661,4.04,FERMENTASI_LANJUT
25.38,614,6.96,BELUM_FERMENTASI
29.53,589,6.16,BELUM_FERMENTASI
26.68,797,6.92,BELUM_FERMENTASI
27.19,898,6.0,FERMENTASI_AWAL
26.67,1557,3.81,FERMENTASI_LANJUT
30.09,1154,4.96,FERMENTASI_AKTIF
25.4,758,6.66,BELUM_FERMENTASI
29.27,1441,5.06,FERMENTASI_AWAL
29.42,1782,4.61,FERMENTASI_AKTIF
28.99,1975,4.78,FERMENTASI_AKTIF
28.19,663,6.69,BELUM_FERMENTASI
26.74,654,5.03,FERMENTASI_AWAL
30.08,1959,4.59,FERMENTASI_AKTIF
24.83,1483,4.08,FERMENTASI_LANJUT
26.83,1461,3.41,MATANG
30.36,869,5.26,FERMENTASI_AWAL
23.7,540,7.01,BELUM_FERMENTASI
26.63,2777,3.5,FERMENTASI_LANJUT
26.76,610,6.01,BELUM_FERMENTASI
28.4,2145,2.99,MATANG
23.54,660,6.44,BELUM_FERMENTASI
25.36,2130,4.05,FERMENTASI_LANJUT
26.15,1650,4.21,FERMENTASI_AKTIF
28.29,2236,3.77,FERMENTASI_LANJUT
28.34,400,6.98,BELUM_FERMENTASI
26.21,1421,5.07,FERMENTASI_AKTIF
25.45,899,5.86,FERMENTASI_AWAL
27.46,1826,4.77,FERMENTASI_AKTIF
28.31,1050,5.99,FERMENTASI_AWAL
26.56,1276,6.12,FERMENTASI_AWAL
30.65,1728,3.51,FERMENTASI_LANJUT
30.18,1118,5.7,FERMENTASI_AWAL
26.96,2102,4.1,FERMENTASI_AKTIF
28.67,810,4.39,FERMENTASI_AKTIF
28.54,643,7.12,BELUM_FERMENTASI
25.98,849,5.81,FERMENTASI_AWAL
27.8,1342,3.07,MATANG
26.41,1201,5.96,FERMENTASI_AWAL
27.53,1660,4.94,FERMENTASI_AKTIF
28.28,1625,4.96,FERMENTASI_AKTIF
24.71,400,6.53,BELUM_FERMENTASI
31.53,1737,5.02,FERMENTASI_AKTIF
29.59,792,5.26,FERMENTASI_AWAL
31.32,1716,4.89,FERMENTASI_AKTIF
26.03,1137,4.4,FERMENTASI_AKTIF
30.54,826,6.09,FERMENTASI_AWAL
26.64,748,5.91,FERMENTASI_AWAL
27.6,1667,3.11,MATANG
29.99,1410,5.11,FERMENTASI_AKTIF
30.76,896,6.56,BELUM_FERMENTASI
25.57,1985,3.94,MATANG
25.14,450,6.38,BELUM_FERMENTASI
30.39,2611,3.53,FERMENTASI_LANJUT
27.93,1702,4.82,FERMENTASI_AKTIF
29.89,2558,3.98,FERMENTASI_LANJUT
29.04,670,6.29,BELUM_FERMENTASI
25.03,437,6.11,BELUM_FERMENTASI
27.82,588,6.33,BELUM_FERMENTASI
29.74,1572,4.92,FERMENTASI_AKTIF
26.05,1865,4.63,FERMENTASI_AKTIF
26.49,1484,3.34,MATANG
31.27,640,5.09,FERMENTASI_AWAL
29.53,1654,4.08,FERMENTASI_LANJUT
29.28,1446,3.1,MATANG
26.24,1924,3.49,MATANG
30.5,837,5.6,FERMENTASI_AWAL
26.68,934,5.11,FERMENTASI_AWAL
30.0,1001,4.13,FERMENTASI_AKTIF
28.63,640,7.05,BELUM_FERMENTASI
28.74,1278,3.2,MATANG
28.77,2126,5.02,FERMENTASI_AKTIF
24.91,823,6.24,FERMENTASI_AWAL
29.47,1742,4.66,FERMENTASI_AKTIF
29.37,1954,4.79,FERMENTASI_AKTIF
27.2,939,5.99,BELUM_FERMENTASI
27.91,806,6.89,BELUM_FERMENTASI
29.92,2427,3.91,FERMENTASI_LANJUT
28.45,735,6.28,BELUM_FERMENTASI
25.86,679,6.35,BELUM_FERMENTASI
26.48,1414,4.71,FERMENTASI_AKTIF
25.74,2264,3.6,FERMENTASI_LANJUT
30.1,2121,4.74,FERMENTASI_AKTIF
25.18,2038,3.41,FERMENTASI_LANJUT
28.23,670,5.14,FERMENTASI_AWAL
27.25,472,6.35,BELUM_FERMENTASI
29.11,776,7.01,BELUM_FERMENTASI
26.96,2629,4.17,FERMENTASI_LANJUT
27.77,1297,3.68,FERMENTASI_LANJUT
29.75,1040,5.78,FERMENTASI_AWAL
26.51,1260,5.73,FERMENTASI_AWAL
24.7,579,6.19,BELUM_FERMENTASI
26.46,2248,3.08,MATANG
30.03,2218,4.35,FERMENTASI_AKTIF
26.93,1256,5.41,FERMENTASI_AWAL
25.47,1212,3.82,MATANG
29.55,1736,4.38,FERMENTASI_AKTIF
25.02,1380,4.55,FERMENTASI_AKTIF
27.01,1589,4.16,FERMENTASI_AKTIF
25.99,658,7.0,BELUM_FERMENTASI
25.85,1392,4.13,FERMENTASI_AKTIF
27.53,1556,4.44,FERMENTASI_LANJUT
27.14,1126,4.84,FERMENTASI_AKTIF
30.6,996,4.36,FERMENTASI_AKTIF
26.65,1499,4.39,FERMENTASI_AKTIF
28.91,961,5.62,FERMENTASI_AWAL
26.33,1982,3.67,FERMENTASI_LANJUT
29.2,2495,3.5,FERMENTASI_LANJUT
28.59,1695,3.75,FERMENTASI_LANJUT
29.54,2371,4.16,FERMENTASI_LANJUT
29.67,653,6.89,BELUM_FERMENTASI
25.5,1873,3.83,FERMENTASI_LANJUT
29.28,551,6.37,BELUM_FERMENTASI
25.97,828,6.57,BELUM_FERMENTASI
30.64,1571,5.23,FERMENTASI_AKTIF
30.29,685,4.97,FERMENTASI_AWAL
27.66,1925,3.54,MATANG
28.18,1181,6.11,FERMENTASI_AWAL
31.43,1543,3.48,FERMENTASI_LANJUT
27.62,1182,5.89,FERMENTASI_AWAL
28.96,1184,5.62,FERMENTASI_AWAL
26.13,1053,5.19,FERMENTASI_AWAL
28.99,1952,4.22,FERMENTASI_LANJUT
27.19,1108,5.93,FERMENTASI_AWAL
27.57,575,6.85,BELUM_FERMENTASI
28.67,1942,3.74,FERMENTASI_LANJUT
27.44,407,7.01,BELUM_FERMENTASI
27.91,640,6.79,BELUM_FERMENTASI
28.81,893,4.41,FERMENTASI_AKTIF
27.06,1275,3.49,FERMENTASI_LANJUT
27.01,1590,4.73,FERMENTASI_AKTIF
25.89,503,7.01,BELUM_FERMENTASI
28.36,2250,3.31,MATANG
27.22,773,5.47,FERMENTASI_AWAL
25.31,1180,5.63,FERMENTASI_AWAL
30.92,2540,4.07,FERMENTASI_LANJUT
26.05,820,6.82,BELUM_FERMENTASI
27.4,2293,2.95,MATANG
25.55,2643,3.62,FERMENTASI_LANJUT
26.08,1247,5.1,FERMENTASI_AKTIF
25.75,780,6.09,BELUM_FERMENTASI
28.01,897,6.13,FERMENTASI_AWAL
30.3,1479,4.89,FERMENTASI_AKTIF
30.12,2491,3.67,FERMENTASI_LANJUT
29.12,513,6.55,BELUM_FERMENTASI
29.41,737,5.65,FERMENTASI_AWAL
26.33,2524,3.83,FERMENTASI_LANJUT
29.9,2553,3.67,FERMENTASI_LANJUT
28.39,1200,4.18,FERMENTASI_AKTIF
28.65,1473,4.69,FERMENTASI_AKTIF
29.03,898,5.58,FERMENTASI_AWAL
24.75,810,6.31,BELUM_FERMENTASI
26.25,843,5.14,FERMENTASI_AWAL
28.76,695,5.94,BELUM_FERMENTASI
30.45,1307,5.41,FERMENTASI_AWAL
29.66,815,5.75,FERMENTASI_AWAL
24.52,1778,3.39,FERMENTASI_LANJUT
26.22,542,6.37,BELUM_FERMENTASI
30.42,1157,4.85,FERMENTASI_AKTIF
24.48,1025,6.51,BELUM_FERMENTASI
27.98,1810,3.18,FERMENTASI_LANJUT
25.52,1642,4.24,FERMENTASI_LANJUT
27.7,448,6.57,BELUM_FERMENTASI
27.44,2250,3.9,FERMENTASI_LANJUT
26.02,1685,3.59,FERMENTASI_LANJUT
27.17,2350,3.7,FERMENTASI_LANJUT
26.63,852,5.23,FERMENTASI_AWAL
25.4,2677,3.95,FERMENTASI_LANJUT
25.49,1562,3.5,MATANG
28.61,1083,4.73,FERMENTASI_AKTIF
31.76,1199,4.09,FERMENTASI_AKTIF
29.26,1044,5.66,FERMENTASI_AWAL
25.96,966,5.56,FERMENTASI_AWAL
25.22,2147,3.19,FERMENTASI_LANJUT
27.27,1292,4.57,FERMENTASI_AKTIF
25.59,846,5.49,FERMENTASI_AWAL
27.12,1159,5.86,FERMENTASI_AWAL
27.37,1843,4.46,FERMENTASI_AKTIF
27.84,769,6.06,FERMENTASI_AWAL
28.23,2904,3.88,FERMENTASI_LANJUT
25.17,1603,4.24,FERMENTASI_LANJUT
27.71,2242,3.83,FERMENTASI_LANJUT
25.69,660,5.22,FERMENTASI_AWAL
30.97,1094,5.81,FERMENTASI_AWAL
29.39,792,4.99,FERMENTASI_AWAL
24.85,1571,4.24,FERMENTASI_AKTIF
29.82,2040,4.46,FERMENTASI_AKTIF
27.9,2818,3.29,FERMENTASI_LANJUT
27.81,653,6.82,BELUM_FERMENTASI
28.08,880,5.66,FERMENTASI_AWAL
27.42,1792,4.49,FERMENTASI_AKTIF
27.5,790,6.95,BELUM_FERMENTASI
27.29,834,5.21,FERMENTASI_AWAL
26.6,1283,6.23,FERMENTASI_AWAL
26.56,764,5.72,FERMENTASI_AWAL
30.79,1518,5.06,FERMENTASI_AKTIF
24.86,1643,3.18,MATANG
30.08,432,6.47,BELUM_FERMENTASI
26.3,1404,4.96,FERMENTASI_AKTIF
29.01,2073,4.57,FERMENTASI_AKTIF
25.91,1234,6.02,FERMENTASI_AWAL
28.84,1367,5.97,FERMENTASI_AWAL
28.2,2167,3.91,FERMENTASI_LANJUT
29.83,1425,4.35,FERMENTASI_AKTIF
29.71,596,6.41,BELUM_FERMENTASI
28.68,1105,4.37,FERMENTASI_AKTIF
27.04,646,6.7,BELUM_FERMENTASI
27.91,658,5.9,BELUM_FERMENTASI
26.57,580,6.31,BELUM_FERMENTASI
26.64,2788,3.38,FERMENTASI_LANJUT
27.32,1104,5.62,FERMENTASI_AWAL
28.58,702,6.8,BELUM_FERMENTASI
29.48,1376,4.67,FERMENTASI_AKTIF
26.27,1284,5.98,FERMENTASI_AWAL
26.27,1852,4.78,FERMENTASI_AKTIF
26.18,1878,4.12,FERMENTASI_LANJUT
29.13,1227,4.72,FERMENTASI_AKTIF
29.62,939,5.04,FERMENTASI_AKTIF
30.95,1839,4.1,FERMENTASI_AKTIF
27.58,1793,4.95,FERMENTASI_AKTIF
25.91,1017,5.92,FERMENTASI_AWAL
29.44,2479,3.54,FERMENTASI_LANJUT
27.6,1911,4.77,FERMENTASI_AKTIF
24.73,1048,5.69,FERMENTASI_AWAL
25.3,2358,3.29,MATANG
25.23,1338,2.9,MATANG
27.31,1982,4.88,FERMENTASI_AKTIF
31.19,1900,4.68,FERMENTASI_AKTIF
28.24,400,6.55,BELUM_FERMENTASI
27.76,2526,3.77,FERMENTASI_LANJUT
25.36,1098,5.91,FERMENTASI_AWAL
27.86,763,6.12,BELUM_FERMENTASI
30.87,1761,4.78,FERMENTASI_AKTIF
26.71,912,5.36,FERMENTASI_AWAL
31.67,1768,4.55,FERMENTASI_AKTIF
26.41,883,5.81,FERMENTASI_AWAL
27.26,1467,4.58,FERMENTASI_AKTIF
28.49,1678,5.31,FERMENTASI_AKTIF
31.08,588,5.27,FERMENTASI_AWAL
25.74,2091,4.43,FERMENTASI_AKTIF
25.04,582,6.6,BELUM_FERMENTASI
31.0,1862,4.39,FERMENTASI_AKTIF
28.94,608,7.06,BELUM_FERMENTASI
26.37,1697,4.64,FERMENTASI_AKTIF
25.09,2167,3.43,MATANG
28.58,2156,3.86,FERMENTASI_LANJUT
27.86,400,7.27,BELUM_FERMENTASI
25.31,2308,4.19,FERMENTASI_LANJUT
29.37,2105,3.91,FERMENTASI_LANJUT
27.64,1113,5.61,FERMENTASI_AWAL
26.41,837,6.18,BELUM_FERMENTASI
25.93,728,7.2,BELUM_FERMENTASI
26.61,1208,5.65,FERMENTASI_AWAL
28.77,1581,5.06,FERMENTASI_AKTIF
28.18,1148,5.35,FERMENTASI_AWAL
28.0,789,6.23,BELUM_FERMENTASI
27.79,400,6.78,BELUM_FERMENTASI
25.76,1330,4.12,FERMENTASI_AKTIF
27.31,845,6.89,BELUM_FERMENTASI
30.45,1273,4.29,FERMENTASI_AKTIF
27.72,784,5.54,FERMENTASI_AWAL
26.25,882,6.11,FERMENTASI_AWAL
28.02,694,5.31,FERMENTASI_AWAL
31.34,1515,4.5,FERMENTASI_AKTIF
29.57,2646,3.39,FERMENTASI_LANJUT
29.59,1053,5.66,FERMENTASI_AWAL
30.43,1227,5.54,FERMENTASI_AWAL
26.3,518,5.97,FERMENTASI_AWAL
24.11,570,6.68,BELUM_FERMENTASI
29.41,2012,4.21,FERMENTASI_AKTIF
25.2,1895,3.67,FERMENTASI_LANJUT
29.87,1879,4.93,FERMENTASI_AKTIF
25.9,555,6.76,BELUM_FERMENTASI
25.65,882,5.34,FERMENTASI_AWAL
27.06,1727,4.61,FERMENTASI_AKTIF
29.47,1223,4.74,FERMENTASI_AKTIF
28.99,1174,4.94,FERMENTASI_AWAL
27.99,570,6.34,BELUM_FERMENTASI
27.95,1543,4.48,FERMENTASI_AKTIF
26.73,708,7.07,BELUM_FERMENTASI
28.25,1642,3.9,FERMENTASI_LANJUT
28.64,758,5.82,FERMENTASI_AWAL
26.72,1274,3.5,MATANG
30.98,1203,5.31,FERMENTASI_AWAL
27.75,784,5.69,FERMENTASI_AWAL
26.75,775,5.94,FERMENTASI_AWAL
25.82,1238,4.8,FERMENTASI_AKTIF
30.37,907,5.39,FERMENTASI_AWAL
30.2,1370,3.98,FERMENTASI_LANJUT
25.04,1312,5.61,FERMENTASI_AWAL
29.5,1786,3.73,FERMENTASI_LANJUT
27.78,812,5.97,FERMENTASI_AWAL
29.43,2031,4.61,FERMENTASI_AKTIF
25.75,1566,4.32,FERMENTASI_AKTIF
28.6,2196,3.52,FERMENTASI_LANJUT
24.98,1475,3.23,MATANG
27.35,1544,4.35,FERMENTASI_AKTIF
24.53,691,6.68,BELUM_FERMENTASI
25.63,1620,3.38,MATANG
30.83,1653,4.87,FERMENTASI_AKTIF
28.35,531,6.27,BELUM_FERMENTASI
29.35,848,7.15,BELUM_FERMENTASI
29.03,831,5.55,FERMENTASI_AWAL
30.1,1735,4.16,FERMENTASI_AKTIF
29.76,2079,3.22,MATANG
25.49,2145,4.03,FERMENTASI_LANJUT
28.68,1171,5.1,FERMENTASI_AWAL
27.06,607,6.19,BELUM_FERMENTASI
29.91,2064,3.79,FERMENTASI_LANJUT
29.72,1154,4.46,FERMENTASI_AKTIF
29.08,2339,4.19,FERMENTASI_LANJUT
27.98,780,6.41,BELUM_FERMENTASI
29.29,1528,3.23,FERMENTASI_LANJUT
25.0,707,5.1,FERMENTASI_AWAL
30.86,1381,5.69,FERMENTASI_AWAL
29.37,811,5.15,FERMENTASI_AWAL
28.45,876,5.24,FERMENTASI_AWAL
29.53,400,6.15,BELUM_FERMENTASI
25.68,847,5.8,FERMENTASI_AWAL
31.74,1143,5.0,FERMENTASI_AKTIF
26.87,2138,4.55,FERMENTASI_AKTIF
26.38,1042,3.56,MATANG
26.61,826,6.29,BELUM_FERMENTASI
25.55,1040,5.6,FERMENTASI_AWAL
25.91,2147,4.2,FERMENTASI_AKTIF
25.48,1703,3.11,MATANG
24.49,1492,3.44,FERMENTASI_LANJUT
28.86,1227,4.08,FERMENTASI_AKTIF
27.56,1009,6.24,FERMENTASI_AWAL
27.75,2556,3.15,MATANG
27.84,612,6.57,BELUM_FERMENTASI
26.33,993,4.82,FERMENTASI_AKTIF
28.84,1098,4.74,FERMENTASI_AKTIF
30.82,1752,4.33,FERMENTASI_AKTIF
26.34,1722,4.7,FERMENTASI_AKTIF
31.29,1906,4.86,FERMENTASI_AKTIF
26.83,1057,5.93,FERMENTASI_AWAL
25.04,2152,3.97,FERMENTASI_LANJUT
23.85,1307,3.14,MATANG
29.03,2622,3.8,FERMENTASI_LANJUT
27.95,618,5.65,FERMENTASI_AWAL
25.47,703,6.41,BELUM_FERMENTASI
26.31,640,6.65,BELUM_FERMENTASI
25.62,1333,4.64,FERMENTASI_AKTIF
25.31,400,6.88,BELUM_FERMENTASI
27.2,819,5.13,FERMENTASI_AKTIF
27.24,2148,3.39,FERMENTASI_LANJUT
26.76,2718,3.63,FERMENTASI_LANJUT
28.79,642,6.37,BELUM_FERMENTASI
25.78,2342,4.05,FERMENTASI_LANJUT
29.47,1268,5.45,FERMENTASI_AWAL
24.54,1531,3.3,MATANG
29.36,953,6.24,FERMENTASI_AWAL
28.78,1184,4.99,FERMENTASI_AWAL
26.3,818,5.45,FERMENTASI_AWAL
31.4,1218,4.59,FERMENTASI_AKTIF
28.15,1348,3.54,MATANG
27.97,937,5.74,FERMENTASI_AWAL
28.89,1159,3.94,FERMENTASI_AKTIF
25.65,402,7.06,BELUM_FERMENTASI
28.14,1432,4.11,FERMENTASI_AKTIF
29.43,1490,4.33,FERMENTASI_AKTIF
29.03,2095,5.14,FERMENTASI_AKTIF
25.73,2082,4.17,FERMENTASI_AKTIF
29.1,1007,6.25,FERMENTASI_AWAL
26.12,2200,3.79,FERMENTASI_AKTIF
29.43,794,5.91,FERMENTASI_AWAL
26.09,857,4.11,FERMENTASI_AKTIF
28.43,2210,3.67,MATANG
25.13,1865,3.96,MATANG
27.83,2013,4.07,FERMENTASI_AKTIF
25.08,1450,3.35,MATANG
26.1,1377,5.1,FERMENTASI_AKTIF
27.91,707,6.4,BELUM_FERMENTASI
29.7,981,4.18,FERMENTASI_AKTIF
25.64,733,5.87,FERMENTASI_AWAL
30.58,1799,4.23,FERMENTASI_AKTIF
24.53,1869,3.63,FERMENTASI_LANJUT
26.8,665,6.09,BELUM_FERMENTASI
25.9,718,5.89,BELUM_FERMENTASI
27.3,2180,3.8,MATANG
27.96,937,5.66,FERMENTASI_AWAL
28.29,1587,3.32,MATANG
29.18,2176,5.12,FERMENTASI_AKTIF
25.21,2493,4.13,FERMENTASI_LANJUT
